"Taxon","Site","Rugosity","Planar","valuecm2","Transect","year","Code","genus","morphology","class","kg_m2_yr"
"Cliona amplicavata","Dry_tortugas",1.57,8.9,10,3,2021,"BSP","BioSponge",NA,"BBS",-8.94
"Cliona caribbaea","Dry_tortugas",1.77,10.3,25,1,2021,"BSP","BioSponge",NA,"BBS",-4.67
"Cliona delitrix","Dry_tortugas",1.77,10.3,25,1,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Dry_tortugas",1.57,8.9,35,3,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Dry_tortugas",1.82,9.3,10,2,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Dry_tortugas",1.7,8.7,35,5,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Dry_tortugas",1.64,9,55,4,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona delitrix","Dry_tortugas",1.74,9,130,6,2021,"BSP","BioSponge",NA,"BBS",-10.48
"Cliona varians","Dry_tortugas",1.77,10.3,20,1,2021,"BSP","BioSponge",NA,"BBS",-4.23
"Cliona varians","Dry_tortugas",1.82,9.3,15,2,2021,"BSP","BioSponge",NA,"BBS",-4.23
"Cliona varians","Dry_tortugas",1.74,9,40,6,2021,"BSP","BioSponge",NA,"BBS",-4.23
"Cliona varians","Dry_tortugas",1.57,8.9,5,3,2021,"BSP","BioSponge",NA,"BBS",-4.23
"Cliona varians","Dry_tortugas",1.7,8.7,20,5,2021,"BSP","BioSponge",NA,"BBS",-4.23
"Siphonodictyon brevitubulatum","Dry_tortugas",1.7,8.7,5,5,2021,"BSP","BioSponge",NA,"BBS",-5.33
